time_stamp,Hostname,kpi,kpi_subtype,value_current
2019/08/17 10:01:05,Server1,memory,Total,100
2019/08/17 10:01:06,Server1,memory,used,35
2019/08/17 10:01:09,Server1,memory,buffer,8
2019/08/17 10:02:04,Server1,memory,cached,10
2019/08/17 10:01:05,Server2,memory,Total,100
2019/08/17 10:01:06,Server2,memory,used,42
2019/08/17 10:01:09,Server2,memory,buffer,7
2019/08/17 10:02:04,Server2,memory,cached,9
2019/08/17 10:07:05,Server1,memory,Total,100
2019/08/17 10:07:06,Server1,memory,used,35
2019/08/17 10:07:09,Server1,memory,buffer,8
2019/08/17 10:07:04,Server1,memory,cached,10
2019/08/17 10:08:05,Server2,memory,Total,100
2019/08/17 10:08:06,Server2,memory,used,35
2019/08/17 10:08:09,Server2,memory,buffer,8
2019/08/17 10:08:04,Server2,memory,cached,10